,SRR6915103_500K_merged_Abundance.RPKs,SRR6915104_500K_merged_Abundance.RPKs,SRR6915105_500K_merged_Abundance.RPKs,SRR6915106_500K_merged_Abundance.RPKs,SRR6915107_500K_merged_Abundance.RPKs,SRR6915108_500K_merged_Abundance.RPKs,SRR6915109_500K_merged_Abundance.RPKs,SRR6915110_500K_merged_Abundance.RPKs,SRR6915111_500K_merged_Abundance.RPKs,SRR6915112_500K_merged_Abundance.RPKs,SRR6915114_500K_merged_Abundance.RPKs,SRR6915117_500K_merged_Abundance.RPKs,SRR6915125_500K_merged_Abundance.RPKs,SRR6915126_500K_merged_Abundance.RPKs,SRR6915127_500K_merged_Abundance.RPKs,SRR6915128_500K_merged_Abundance.RPKs,SRR6915129_500K_merged_Abundance.RPKs,SRR6915130_500K_merged_Abundance.RPKs,SRR6915131_500K_merged_Abundance.RPKs,SRR6915132_500K_merged_Abundance.RPKs,SRR6915133_500K_merged_Abundance.RPKs,SRR6915134_500K_merged_Abundance.RPKs,SRR6915135_500K_merged_Abundance.RPKs,SRR6915136_500K_merged_Abundance.RPKs,SRR6915147_500K_merged_Abundance.RPKs,SRR6915149_500K_merged_Abundance.RPKs,SRR6915150_500K_merged_Abundance.RPKs,SRR6915151_500K_merged_Abundance.RPKs,SRR6915152_500K_merged_Abundance.RPKs,SRR6915153_500K_merged_Abundance.RPKs,SRR6915155_500K_merged_Abundance.RPKs,SRR6915156_500K_merged_Abundance.RPKs,SRR6915167_500K_merged_Abundance.RPKs,SRR6915168_500K_merged_Abundance.RPKs,SRR6915169_500K_merged_Abundance.RPKs,SRR6915170_500K_merged_Abundance.RPKs,SRR6915171_500K_merged_Abundance.RPKs,SRR6915172_500K_merged_Abundance.RPKs,SRR6915173_500K_merged_Abundance.RPKs,SRR6915174_500K_merged_Abundance.RPKs,SRR6915175_500K_merged_Abundance.RPKs,SRR6915176_500K_merged_Abundance.RPKs,SRR6915177_500K_merged_Abundance.RPKs,SRR6915178_500K_merged_Abundance.RPKs,SRR6915179_500K_merged_Abundance.RPKs,SRR6915180_500K_merged_Abundance.RPKs,SRR6915181_500K_merged_Abundance.RPKs,SRR6915182_500K_merged_Abundance.RPKs,SRR6915183_500K_merged_Abundance.RPKs,SRR6915184_500K_merged_Abundance.RPKs,SRR6915185_500K_merged_Abundance.RPKs,SRR6915186_500K_merged_Abundance.RPKs,SRR6915195_500K_merged_Abundance.RPKs,SRR6915196_500K_merged_Abundance.RPKs,SRR6915197_500K_merged_Abundance.RPKs,SRR6915198_500K_merged_Abundance.RPKs,SRR6915199_500K_merged_Abundance.RPKs,SRR6915200_500K_merged_Abundance.RPKs
PHOSLIPSYN-PWY,3.5937069039634807e-05,4.711427109298809e-05,2.622436716273041e-05,0.00010164086476175093,3.8484980083706046e-05,4.3553175667617146e-05,2.484902931459075e-05,3.0666301323436953e-05,3.3340110451273544e-05,3.770554191693105e-05,5.405769947662818e-05,4.045465707523615e-05,8.493350465450053e-05,7.829506161840169e-05,2.4357182822227762e-05,4.5903488524517555e-05,3.1117705470666944e-05,3.7273354770274376e-05,1.9010444605741898e-05,2.1174180258608585e-05,2.5919223583220074e-05,5.900565656375899e-05,3.1096567608367e-05,5.7847594956492876e-05,5.693543700237512e-05,2.2438059570715542e-05,4.417809738445282e-05,3.05726120053001e-05,2.4899427714026072e-05,3.265213169014307e-05,4.364217219421462e-05,4.2487185881658334e-05,5.0668047664738554e-05,2.9515888372134727e-05,3.04733683252794e-05,4.1917065016593846e-05,3.389099274248756e-05,7.314597217681003e-05,5.655658716513003e-05,3.352050690636349e-05,5.1367707962636124e-05,6.68104853911692e-05,2.2693131594210048e-05,2.7337538818800785e-05,4.943897460591936e-05,4.569910085575608e-05,3.781955142814835e-05,2.2628997447503625e-05,3.371306816897429e-05,4.656993844339613e-05,4.11602630312953e-05,6.614547877942191e-05,4.2775902078197645e-05,4.3674458074887635e-05,4.40922733415847e-05,5.571286639182932e-05,3.097206293870113e-05,5.859877527757189e-05
PWY-5981,7.787539879453285e-06,2.4240342132936922e-05,9.388243650407776e-06,2.7371426271056633e-05,8.195197382921658e-06,1.003314439066443e-05,8.421189712196256e-06,7.654795772774246e-06,1.3872193173435307e-05,1.817591564530053e-05,6.673749369942452e-06,9.380566331086763e-06,3.793241518170726e-05,4.344842110919505e-05,7.712226092311382e-06,1.081054469677734e-05,8.606328494722201e-06,9.828890719433212e-06,1.0326730676089141e-05,8.839894286109942e-06,9.069529230564968e-06,2.6696576864394987e-05,9.180625521902567e-06,3.503732632499064e-05,8.300426883214899e-06,9.407093028264726e-06,7.098815943838122e-06,2.1708153101369896e-05,8.527997307516887e-06,1.0071742052476732e-05,7.56212128643769e-06,1.2582362766801471e-05,3.5496913248989e-05,9.526601445146021e-06,8.104751228248911e-06,9.503413495972112e-06,8.677007168472557e-06,2.229903636349838e-05,6.944710390469013e-06,1.2550184807456063e-05,9.757548370389492e-06,9.558351700861992e-06,9.801004973344563e-06,1.4540742853130481e-05,1.1530150116331552e-05,2.7512146016866875e-05,1.469574052369767e-05,1.337473698543061e-05,4.3482720746958326e-05,9.56805804135268e-06,7.987860010438098e-06,7.724095375969949e-06,8.356485849502734e-06,7.214241284273765e-06,1.0194911230702947e-05,4.380782780684797e-05,1.0057321711978496e-05,1.2295485550721966e-05
PWY0-1319,3.6604322577751474e-05,8.170688484954297e-05,6.711689202391823e-05,0.0001319732188804794,9.510395894993857e-05,9.967896861992472e-05,7.37303484012607e-05,9.628596692372904e-05,0.00013314629022812325,5.782314537990555e-05,9.396053776720467e-05,0.00012639618979633634,0.0001077969897333643,0.00011450310595958378,5.6455843353868986e-05,3.983354014403127e-05,8.577527784278438e-05,6.579722956157494e-05,9.08210092636978e-05,6.612794624935044e-05,6.426915956201e-05,5.6204442967258386e-05,5.448420758200818e-05,9.400324756859509e-05,0.00010773368871121304,6.316465194180552e-05,9.392012848436573e-05,7.388905864666765e-05,0.00012259571339401926,0.00010215847081383713,7.443148495928777e-05,7.933084967181004e-05,0.0001018807247084798,5.4302603345619975e-05,8.638606066763545e-05,0.00011839090501662213,0.00011188881164531892,0.00012989005473967123,9.627867488198029e-05,8.483712556800111e-05,9.747006018340307e-05,7.778265242502244e-05,6.724701537604133e-05,0.00013179615947341526,9.566286281940328e-05,0.00012051025260100939,8.560001098049599e-05,6.0204342608462943e-05,0.000119576515857355,0.00012321123656904468,0.00011187920021529487,0.00010031318946921118,9.032782032011108e-05,0.00011164453825480266,7.715685315626724e-05,0.0001005307322907946,0.00010104427856027923,8.896647229469013e-05
PWY4FS-7,2.9515460138931577e-05,3.437665216327831e-05,2.9813063866522674e-05,0.00013254835750195812,2.6568733465705733e-05,3.1341518449784694e-05,1.701984823584585e-05,2.3528659390270364e-05,2.520910994616624e-05,2.7966270009528733e-05,4.066146954048334e-05,2.759511615449782e-05,7.368490477553728e-05,6.743454182638529e-05,2.5112154101143507e-05,4.1933871469759196e-05,2.7811559484064626e-05,3.3911656323525944e-05,1.2358291426515967e-05,1.6490445238764317e-05,1.809825590392976e-05,5.9841872258152316e-05,2.2753458248150902e-05,7.695481988605764e-05,7.966421462608764e-05,1.5311034959593058e-05,3.4968038352939695e-05,2.1537131922222784e-05,1.7001899076171245e-05,2.9837383692961625e-05,6.709401724077209e-05,3.0199989590739804e-05,4.6185785638909424e-05,2.2970834609467446e-05,2.1047849983888026e-05,2.8819087048950804e-05,2.269466115647237e-05,5.9722164120394075e-05,4.223439310479266e-05,2.483899315187362e-05,3.7450520862122586e-05,5.742147463514161e-05,1.5195263457205253e-05,1.7918785507209523e-05,3.684780552546074e-05,3.196638057465532e-05,3.108171643419821e-05,1.4524700084498935e-05,2.253779082501517e-05,3.3464579054433536e-05,2.8301589199398867e-05,6.559631922118631e-05,3.150351921878853e-05,3.0170272602022797e-05,3.295660699989681e-05,4.3661978823826524e-05,2.089717426593742e-05,6.32818760203508e-05
COLANSYN-PWY,1.8744016078365695e-05,8.601832368799214e-05,1.4900798348788008e-05,7.309353868261434e-05,1.908934291968652e-05,4.90289371404406e-05,3.340880255569855e-05,4.955931447074538e-05,9.053723691412982e-05,4.8651053509743205e-05,5.7103676990067486e-05,4.35443488339348e-05,7.77526016461314e-05,5.266660145144397e-05,4.198597556910081e-05,2.619348342894383e-05,2.941934519096169e-05,3.659476415536132e-05,5.4716460139878256e-05,2.4500281041503437e-05,3.8272292802855925e-05,3.8850166878350774e-05,2.1328803582082813e-05,4.118976717255704e-05,2.1350929323069918e-05,5.538724308181732e-05,3.15535368674699e-05,3.302267175256629e-05,5.588365108734267e-05,3.71187961514586e-05,6.373619806759809e-05,2.0541090666467266e-05,7.499875666997128e-05,3.434079481987212e-05,2.139933673612138e-05,6.67890642490848e-05,7.648226646288403e-05,3.413231458500426e-05,4.0566482886347476e-05,4.3817753471069375e-05,4.726819699685235e-05,3.4346610415021514e-05,4.325202168853122e-05,7.25219237314133e-05,3.7838696630057546e-05,7.28702746200436e-05,4.606865271854811e-05,5.262326610036934e-05,2.8745767043207562e-05,3.65658059893854e-05,3.0368387785699207e-05,2.2537663273789117e-05,4.2215770381654867e-05,3.133287709505216e-05,2.498591166054567e-05,2.8310440514806448e-05,2.8861708699224072e-05,3.573557297855696e-05
GLUCONEO-PWY,8.122815126012848e-05,7.424117977601594e-05,3.255178800649151e-05,0.00012605259045367744,4.4438131688945756e-05,4.221573182658046e-05,9.168962609118224e-05,4.638294677132434e-05,7.369582911156187e-05,4.7428773864979436e-05,4.408653954501128e-05,3.198090801703101e-05,6.661493780149748e-05,6.924352464913124e-05,5.041391819986128e-05,4.1266675790058015e-05,3.268572222110025e-05,5.412558118609825e-05,7.724242755434717e-05,4.5424097487889056e-05,5.1729269018845434e-05,8.818485832693925e-05,3.133149459757176e-05,8.219196800099993e-05,4.644104861508641e-05,2.271339779927098e-05,6.374157862879551e-05,5.732034069653446e-05,3.912917420548948e-05,3.887953731921931e-05,6.061769026352685e-05,5.3786228188676033e-05,8.212770203894295e-05,6.501748068385579e-05,6.615529808654623e-05,2.2757130447900355e-05,6.160571802533495e-05,8.400357967697451e-05,6.719298864030855e-05,3.1689772952202814e-05,5.434102751807447e-05,5.351152673996769e-05,3.756222970586955e-05,9.94240620097081e-05,8.168472652343478e-05,8.308326929303026e-05,4.4958860365617596e-05,6.448473220295212e-05,6.909240512344448e-05,5.355449234404845e-05,3.8670187966433374e-05,5.337595830637311e-05,3.551594645838996e-05,5.180591852717678e-05,5.668557811360723e-05,3.574399747144052e-05,5.359119198428923e-05,7.935220870095411e-05
PWY-7115,1.3476405525363043e-05,1.4321849798077075e-05,7.452047820949215e-06,6.209912488683941e-05,9.47716302285742e-06,1.0924143429320513e-05,1.8449411402872004e-05,9.845252627585561e-06,1.081547170088823e-05,8.742673555869125e-06,8.790402201802176e-06,2.4253055643520505e-05,2.5700954927953048e-05,2.0991496961420606e-05,8.51645900249918e-06,1.2077993909038552e-05,8.483113607996611e-06,1.5093545574126869e-05,1.713141972648834e-05,1.6245729735701043e-05,8.753946674620653e-06,1.2173487529095365e-05,1.2532114785864278e-05,1.5730205486254257e-05,2.0725120083658877e-05,8.59752359784891e-06,1.2551283920212672e-05,1.0071049854226452e-05,1.157303572606229e-05,1.3057914557751091e-05,9.885776446211424e-06,7.163117490447367e-06,9.520137719632177e-06,1.605103359453026e-05,2.3127181265245805e-05,1.1327260402458892e-05,8.419485865809278e-06,1.4700494247371398e-05,9.74817989443511e-06,1.9638243837405942e-05,1.1282514818511004e-05,8.050180696873486e-06,1.0647902033076034e-05,1.7013898212999487e-05,3.341362662152314e-05,9.579555422605775e-06,1.7554405867437032e-05,1.1390855998839225e-05,1.4044057377784778e-05,1.4578357029381404e-05,1.2372347019005976e-05,6.738540400513847e-06,8.376225815920932e-06,9.11850361917064e-06,1.658111804056471e-05,1.1021273089471906e-05,1.6048280918095266e-05,1.1723268900710226e-05
P163-PWY,7.12006492744892e-08,8.366453479919816e-08,8.706267502180155e-08,6.256877540822553e-08,7.664578280781425e-08,6.319654400058417e-08,8.339211290615768e-08,8.731070407458185e-08,8.529297462285275e-08,6.713047745157778e-08,8.437866390231292e-08,8.218185069366822e-08,9.574604930016281e-08,8.366226348745109e-08,8.718283803543376e-08,8.434569639129886e-08,8.07471422014248e-08,8.518271855632859e-08,7.797694928735849e-08,8.049040088929856e-08,8.527605785790153e-08,8.508973168974784e-08,9.716911546431116e-08,6.199338243634388e-08,7.908629747905377e-08,8.611901464228317e-08,8.290046731029488e-08,8.611439065011428e-08,6.940173070178665e-08,7.595598682330007e-08,8.501755617242808e-08,7.997881591483696e-08,8.70252516240481e-08,8.738868524142179e-08,8.12269146554125e-08,8.54287191102862e-08,7.818014372261522e-08,8.655429678312378e-08,7.952006813087375e-08,8.927880272265095e-08,8.214850517746127e-08,8.613311262474759e-08,2.503279280822241e-09,8.358618535313447e-08,8.868742296179862e-08,7.735973238730951e-08,8.822690424034988e-08,8.630903102437683e-08,8.191934006248706e-08,8.678541117232278e-08,8.52696338598357e-08,8.706728207808224e-08,8.694677141070978e-08,7.913413392842549e-08,8.51077923709916e-08,8.222231243876194e-08,8.001049555881099e-08,6.102027960674094e-08
1CMET2-PWY,8.08748464727375e-05,0.00011264777664499974,5.8854838836220126e-05,0.00010836058072177175,0.00010696742016025073,9.852427545972813e-05,0.00010646762878728963,0.00010420925637044842,0.0001678962691303153,8.3205611278697e-05,0.00010742275257256537,0.0001008007661912354,8.796251769714601e-05,9.374862088317849e-05,9.850535374514519e-05,0.00012628458938999633,7.309434567439121e-05,6.437549105300992e-05,7.8569328493091e-05,7.888404027488109e-05,7.506396942628504e-05,8.979905449177197e-05,8.2370959052648e-05,8.343497346229111e-05,6.968687856624774e-05,7.536211173566867e-05,0.00013164724811265947,4.117329274286914e-05,9.084908666391739e-05,8.734643208874387e-05,0.00012008033772781692,9.447142495648004e-05,0.00011137904536419594,8.496155598950025e-05,0.00010368173384834273,0.00011593423142587702,0.00013942884985850142,0.00011941670790796202,0.0001151014995018521,9.917712366363908e-05,8.559825119272363e-05,6.98340955623508e-05,9.667139367696015e-05,0.0001319597367501105,8.712936021932605e-05,0.00010883743672581438,0.00011298422417408682,8.086093895351666e-05,0.00011314477116310839,0.00010456402106455006,0.00012699240562255432,0.00010642612278961187,9.492548265514823e-05,0.00014181026481122273,9.381910141895841e-05,0.00010997965839098913,8.914381412241104e-05,7.683745841515482e-05
PWY-2201,8.179390085504396e-05,8.334579162357299e-05,7.669938297080591e-05,7.343177225650547e-05,6.21345378474371e-05,6.524920309395037e-05,2.7338298074497246e-05,8.647404074223258e-05,0.00011764090232402494,3.2469891360852164e-05,8.876618813401395e-05,6.489324846044302e-05,9.142884552757823e-05,7.920845310999378e-05,6.056173890085706e-05,0.0001071574839142743,4.379303693073578e-05,4.3218858817332346e-05,7.082042071568326e-05,3.157003609178188e-05,4.727964463334047e-05,7.686961471595308e-05,7.68016911996451e-05,7.695618590499242e-05,4.519665294857296e-05,6.143806617349613e-05,8.288387619391756e-05,4.836108531903449e-05,8.315103692554651e-05,3.137393737279451e-05,9.764123892487218e-05,7.9328783532309e-05,9.185308613332171e-05,5.616546340818254e-05,2.9561688717313598e-05,7.37693420482176e-05,9.544764609204469e-05,8.647099766073071e-05,7.73577383614893e-05,4.490310196932805e-05,4.391358750106776e-05,6.541979574229327e-05,7.550673588513911e-05,8.09352212872771e-05,6.503933111665833e-05,9.457074498447725e-05,8.384161419316028e-05,6.623789338296344e-05,3.401719896457101e-05,4.9351287536813657e-05,8.395133751418194e-05,2.8845900698412923e-05,6.262228514277954e-05,3.722274623308521e-05,3.160242550289101e-05,3.313323625893688e-05,7.579218929138744e-05,2.774135084724242e-05
PWY-3841,0.00011199031293169356,0.0001154105583512083,8.273070622241574e-05,0.00011469748639595291,0.00012793824868702198,0.00011226824163119817,0.00011735188042401778,0.00013540543811095548,0.00016158777654930184,0.00010347070888385831,0.00011580248942590101,0.00011816060621586283,9.487444545912416e-05,0.00010700130641050712,0.00012781614303922372,0.00013601598351518763,0.00011797981964086217,6.842239412866948e-05,8.986869880817155e-05,9.539446682585022e-05,8.364735309504904e-05,0.00011004933848127303,0.0001059993343585786,0.00010296153700722342,8.851905114595204e-05,9.200361134298235e-05,0.00014281112023089876,9.526877916232514e-05,0.0001143664415186323,8.384522476119041e-05,0.0001553533508009063,0.00010573888559946431,0.00011551930376555138,9.664491791820845e-05,0.00011851727145067963,0.0001329064675592664,0.0001329780360629575,0.00012547851809230614,0.00013240825408832697,0.00012255541185639788,8.493054447121883e-05,8.221306125769954e-05,0.00010244019730648298,0.00014191338439763175,9.947236565704083e-05,0.00011352821284791348,0.00014040955779123603,0.0001053074219081222,0.00013707760967383232,0.0001102458461076304,0.0001378524340574755,0.00010919017306084494,0.00011004660890885027,0.00014036787132034524,0.00010572972317441165,0.0001220018616023902,0.00011381776840278737,0.00010978340899981685
PWY-5345,8.514650934675234e-06,3.845669200673714e-05,8.636825670082549e-06,6.967260375300108e-05,4.8670287426872305e-06,8.780645587914322e-06,1.0481839122522164e-05,5.754104261749284e-06,1.316144542500119e-05,2.90564640808539e-05,6.2704512733373115e-06,4.646917510700401e-06,3.87986151038859e-05,1.1535591477741125e-05,1.9220866651926004e-05,2.1167154481419206e-05,8.479617923330423e-06,9.38013275913958e-06,4.881900642637312e-06,1.3404553455603095e-05,7.165507146490807e-06,1.0054254853480242e-05,6.255289116807194e-06,8.780664896038174e-06,1.7747204596734924e-05,7.643436452138566e-06,4.886189357055555e-06,7.486105047106771e-06,1.3216039170364511e-05,2.947111892855389e-05,4.434408565187541e-05,1.5678241719940885e-05,6.512955849881518e-06,1.074477035418451e-05,8.993621193666049e-06,1.0588768994272325e-05,1.1532149192389217e-05,9.023346674498092e-06,7.874499834448954e-06,1.9842560074714255e-05,5.830076780115087e-06,7.633324483364673e-06,9.128145433913023e-06,7.079208134733827e-05,5.594464635904832e-05,1.291859968372214e-05,9.680825275357979e-06,1.10324718934581e-05,5.744930850209315e-06,2.5302616489716606e-05,4.8255479372256355e-06,7.086634885796268e-06,2.0065446012384833e-05,7.092001327249184e-06,9.043385157911545e-06,4.149017441239002e-05,6.593665276985696e-06,9.012786245372978e-06
PWY-821,2.2290079792414023e-06,2.645840146609204e-06,3.830668690369504e-06,4.636040041106599e-05,1.182826285529408e-06,2.0634195701336987e-06,4.084553776721657e-06,2.136932624447816e-06,2.558735191728505e-06,4.272789484072749e-06,1.9784454570902078e-06,2.732208156931537e-06,2.406131175966258e-05,1.904709588690181e-06,7.183551190617828e-06,1.0977513989554293e-05,1.971840772745978e-06,2.2308660059385e-06,1.5585287257960976e-06,7.899586614553005e-06,2.0433766065045736e-06,4.394539677965945e-06,1.427400205044873e-06,1.8041626677132666e-06,8.084234828172733e-06,3.601013799291699e-06,1.4879191213226666e-06,1.960923734748854e-06,3.3849681462558595e-06,8.975010902531239e-06,2.269911153284709e-06,7.086791701043504e-06,1.9131872221729715e-06,2.5180370440774705e-06,3.7853290222333987e-06,2.963054145171889e-06,2.068354275151461e-06,5.710482894687724e-06,1.9298785907889565e-06,8.022509763572896e-06,2.2037889862868986e-06,3.0762315961064836e-06,2.83297752847137e-06,4.5327744516216976e-05,2.6522785856921347e-05,2.6436780164138837e-06,2.457877731597082e-06,2.583476373668023e-06,1.8138613936939806e-06,7.746948263763627e-06,1.8228395856294802e-06,4.11607703613865e-06,6.50180314979842e-06,2.5776300266155257e-06,2.0178632612704663e-06,2.857775398676032e-06,2.0334673261079894e-06,4.864029967177963e-06
PWY1ZNC-1,3.3105897587838333e-06,1.818619358313405e-05,3.795685976983687e-06,4.179377523975183e-05,1.856101781524896e-06,3.4059703714371824e-06,1.695300165322111e-06,2.209338731477105e-06,5.064131124830272e-06,1.3639432117914851e-05,2.377518293396008e-06,1.7500648097361556e-06,1.4571893715976894e-05,4.7543109378760105e-06,3.2775737914232853e-06,6.111372012149553e-06,3.429516060853255e-06,3.863634985833656e-06,1.85417737309388e-06,4.988607909438504e-06,2.8256139904958394e-06,4.001308277765006e-06,2.5042477429516935e-06,3.425368468026059e-06,4.229545956017036e-06,3.0206529828591795e-06,1.8463875519226299e-06,3.036792571818488e-06,5.70820539139047e-06,3.470382318894941e-06,2.480381993405582e-05,2.6824309182329693e-06,2.4779873392366976e-06,4.4972738324228e-06,1.6505208939568652e-06,4.151423643501529e-06,4.516538391738066e-06,3.5183360656721644e-06,3.0346658529753493e-06,3.508442919497946e-06,2.22313256003346e-06,3.2205944704051123e-06,3.796346381187173e-06,4.042560656841444e-05,1.2050778597902027e-05,5.080165647441722e-06,3.92492694501369e-06,4.599541437105163e-06,2.2454884465540677e-06,3.7274997949557943e-06,1.8191914295461955e-06,2.6995893202472546e-06,2.708843514360618e-06,2.717327169539988e-06,3.5430076083739594e-06,2.1526275057296936e-05,2.6110555223203666e-06,3.5644271093754835e-06
SO4ASSIM-PWY,3.3105897587838333e-06,1.818619358313405e-05,3.795685976983687e-06,5.763999577804223e-05,1.856101781524896e-06,3.4059703714371824e-06,4.060019256911132e-06,2.209338731477105e-06,5.064131124830272e-06,1.3639432117914851e-05,2.377518293396008e-06,1.7500648097361556e-06,5.5751773369692656e-05,4.7543109378760105e-06,8.534686094697306e-06,1.750416125462337e-05,3.429516060853255e-06,3.863634985833656e-06,1.85417737309388e-06,6.134313976128356e-06,2.8256139904958394e-06,4.001308277765006e-06,2.5042477429516935e-06,3.425368468026059e-06,9.698257772322994e-06,3.0206529828591795e-06,1.8463875519226299e-06,3.036792571818488e-06,5.70820539139047e-06,1.3397987795988103e-05,2.480381993405582e-05,8.949016833690776e-06,2.4779873392366976e-06,4.4972738324228e-06,3.6032359784589393e-06,4.151423643501529e-06,4.516538391738066e-06,3.5183360656721644e-06,3.0346658529753493e-06,8.584863262410387e-06,2.22313256003346e-06,3.2205944704051123e-06,3.796346381187173e-06,4.042560656841444e-05,3.635747742471016e-05,5.080165647441722e-06,3.92492694501369e-06,4.599541437105163e-06,2.2454884465540677e-06,1.4373040751777506e-05,1.8191914295461955e-06,2.6995893202472546e-06,8.806062679896455e-06,2.717327169539988e-06,3.5430076083739594e-06,2.1526275057296936e-05,2.6110555223203666e-06,3.5644271093754835e-06
SULFATE-CYS-PWY,6.792801278294473e-06,3.294332671718385e-05,7.705735121830958e-06,7.974004554843272e-05,4.011685364711064e-06,7.072417205424314e-06,8.57233603583898e-06,4.8124254272902865e-06,1.0863219987507348e-05,2.4881933944394184e-05,5.148820454178203e-06,3.8063773744228655e-06,6.344693584933676e-05,9.80539433010538e-06,1.6611185651312778e-05,1.3013149310563195e-05,7.237310381740105e-06,7.966501454367404e-06,3.969748543653265e-06,9.932406244426888e-06,5.877509722368874e-06,7.96079478958238e-06,5.284196374480731e-06,7.306015459136271e-06,1.5715939049577668e-05,6.3407174929040345e-06,4.048394692057047e-06,6.3010873701298775e-06,1.17022480706174e-05,1.9666144360610686e-05,3.2632488779440196e-05,1.536803153892855e-05,5.433201699335576e-06,9.21892417074149e-06,7.637754641678744e-06,8.784779438861453e-06,9.680327693580262e-06,7.604422993874281e-06,6.412295257191766e-06,1.5399649308054554e-05,4.745601452120828e-06,6.4262008893554274e-06,7.837372606212392e-06,6.171889594112604e-05,5.4461014200265434e-05,1.0673469626030387e-05,8.059436516850066e-06,9.054664885011941e-06,4.563541067437242e-06,2.2808309978381446e-05,4.00069620239526e-06,5.733433665155712e-06,1.650564713142572e-05,5.864574471601644e-06,7.4893518016011475e-06,3.920857283631983e-05,5.627928120415837e-06,7.294678392934835e-06
CALVIN-PWY,8.686847827037576e-05,0.00013906610337218307,7.938941492398457e-05,0.00015094264108184044,0.0001435232126094813,0.00012391387750207357,9.160360511733147e-05,0.00010737445092236506,0.00012334468725852405,0.00015047058185773134,9.687954418991979e-05,0.0001229544846937485,0.0001437411270115623,8.415343535512676e-05,6.967630351593115e-05,0.00010210497119190021,9.015952110770289e-05,9.57996049585951e-05,0.0001231657247253119,9.713046928049601e-05,8.18650598951276e-05,0.00010172886380761443,0.00010009059041069665,0.0001267979962282981,0.00014382925762790715,0.00010944951428471719,0.00012230640599320157,7.497754278193636e-05,0.00013913812785319808,7.609076301825768e-05,0.00013843803368370768,0.0001322153327077076,0.00012739465483573004,7.835962622116677e-05,0.00011237063815211356,0.00015477466105299904,0.00014705198274367605,8.664894573147695e-05,0.00010231372007595582,0.00013541140641802485,9.787459031734388e-05,0.00010385244136100828,0.00010314066513572141,0.00013775711686616715,0.00011961291851284093,0.00010283315421029336,0.00012967488795381942,9.308431253144813e-05,0.0001280342553098468,0.00013786410022222507,0.00013717793401129717,0.00011722016816602195,0.00011725855585759432,0.0001643880948759845,0.00011793290591707421,0.0001608270701040956,7.606441713751254e-05,9.919161523273245e-05
NONOXIPENT-PWY,3.997704001218175e-05,0.00010694122692603641,5.132548067460102e-05,0.0002388542354253351,0.0001254858814300586,9.914558840888478e-05,5.583383168682872e-05,8.158689479098671e-05,7.832933559177242e-05,0.00012235243051633812,7.290570274086202e-05,8.943811286387164e-05,0.00016374987017195346,5.3117476467051916e-05,3.253498828770352e-05,0.00010589151512773011,7.24995146118633e-05,7.767972224923397e-05,7.478765050130044e-05,8.086095042470897e-05,5.928814694158212e-05,7.650639173904912e-05,6.92449206614566e-05,0.00012411154933092888,0.00010294233665820781,6.921152411404639e-05,8.345347051315435e-05,4.140554961283871e-05,0.0001572429254113705,3.915129912039412e-05,0.0001277333483907871,8.388314517230085e-05,8.904407256452403e-05,6.196573082453338e-05,8.599043543513787e-05,0.00011045464783444429,0.00010993044406640241,4.274941456159807e-05,6.397228203945017e-05,0.0001060328789758897,4.927575776157258e-05,0.00011045477053309887,9.49469145209532e-05,8.714380093993538e-05,0.00010530282076024752,8.010883664640827e-05,8.486646069422131e-05,5.239544644501729e-05,0.0001060310511679716,7.495588617549428e-05,0.00012460171428100856,0.00011359480981317925,7.816417206347377e-05,0.00012659911810572978,7.59396723566614e-05,0.00010618009283158018,3.7471627476055884e-05,7.885760119808727e-05
PENTOSE-P-PWY,3.358694471531535e-05,5.025460449580505e-05,1.4753370949484294e-05,7.36673153161956e-05,3.65363660244031e-05,3.668177618131315e-05,5.241905329516818e-05,5.0582749876512106e-05,7.879220571980202e-05,4.503563836816394e-05,6.106914579874967e-05,3.874010800600538e-05,7.359279793026118e-05,5.125537018968737e-05,1.3838388194464809e-05,2.316090144896733e-05,2.3417277029610165e-05,1.6532047455834178e-05,5.7193730969125384e-05,1.767374653567626e-05,3.366380089192094e-05,1.2983605913910675e-05,1.4163335231170952e-05,2.6207131346796915e-05,1.3436526593013205e-05,2.1620014968930412e-05,3.949523017850779e-05,1.8109928685498232e-05,2.5217804636909327e-05,1.8240584515928336e-05,4.848090330360048e-05,1.4381516012126052e-05,6.892820370534101e-05,2.1333584047310068e-05,4.5291427230793675e-05,2.7927646320641753e-05,7.014786939808974e-05,4.828631682627407e-05,4.795059221437261e-05,3.460795380211918e-05,1.6053467745758982e-05,1.4434479710880325e-05,1.8928720122097118e-05,3.120133286939239e-05,4.736757566411093e-05,6.426401649021648e-05,2.0804478347158446e-05,3.371541512498263e-05,2.9037888386198688e-05,1.722558523934784e-05,3.2530131568264335e-05,2.4475165787114924e-05,2.7996791447210114e-05,3.503426598229282e-05,1.2742540498886522e-05,5.311006899312324e-05,3.239221745089073e-05,1.2961849127851262e-05
