	ERR688505_500K_merged_Abundance.RPKs	ERR688506_500K_merged_Abundance.RPKs	ERR688507_500K_merged_Abundance.RPKs	ERR688508_500K_merged_Abundance.RPKs	ERR688509_500K_merged_Abundance.RPKs	ERR688510_500K_merged_Abundance.RPKs	ERR688511_500K_merged_Abundance.RPKs	ERR688512_500K_merged_Abundance.RPKs	ERR688513_500K_merged_Abundance.RPKs	ERR688514_500K_merged_Abundance.RPKs	ERR688515_500K_merged_Abundance.RPKs	ERR688516_500K_merged_Abundance.RPKs	ERR688517_500K_merged_Abundance.RPKs	ERR688518_500K_merged_Abundance.RPKs	ERR688519_500K_merged_Abundance.RPKs	ERR688520_500K_merged_Abundance.RPKs	ERR688521_500K_merged_Abundance.RPKs	ERR688522_500K_merged_Abundance.RPKs	ERR688523_500K_merged_Abundance.RPKs	ERR688524_500K_merged_Abundance.RPKs	ERR688525_500K_merged_Abundance.RPKs	ERR688526_500K_merged_Abundance.RPKs	ERR688527_500K_merged_Abundance.RPKs	ERR688528_500K_merged_Abundance.RPKs	ERR688529_500K_merged_Abundance.RPKs	ERR688530_500K_merged_Abundance.RPKs	ERR688531_500K_merged_Abundance.RPKs	ERR688532_500K_merged_Abundance.RPKs	ERR688533_500K_merged_Abundance.RPKs	ERR688534_500K_merged_Abundance.RPKs	ERR688535_500K_merged_Abundance.RPKs	ERR688536_500K_merged_Abundance.RPKs	ERR688537_500K_merged_Abundance.RPKs	ERR688538_500K_merged_Abundance.RPKs	ERR688539_500K_merged_Abundance.RPKs	ERR688540_500K_merged_Abundance.RPKs	ERR688541_500K_merged_Abundance.RPKs	ERR688542_500K_merged_Abundance.RPKs	ERR688543_500K_merged_Abundance.RPKs	ERR688544_500K_merged_Abundance.RPKs	ERR688545_500K_merged_Abundance.RPKs	ERR688546_500K_merged_Abundance.RPKs	ERR688547_500K_merged_Abundance.RPKs	ERR688548_500K_merged_Abundance.RPKs	ERR688549_500K_merged_Abundance.RPKs	ERR688550_500K_merged_Abundance.RPKs	ERR688551_500K_merged_Abundance.RPKs	ERR688552_500K_merged_Abundance.RPKs	ERR688553_500K_merged_Abundance.RPKs	ERR688554_500K_merged_Abundance.RPKs	ERR688555_500K_merged_Abundance.RPKs	ERR688556_500K_merged_Abundance.RPKs	ERR688557_500K_merged_Abundance.RPKs	ERR688558_500K_merged_Abundance.RPKs	ERR688559_500K_merged_Abundance.RPKs	ERR688560_500K_merged_Abundance.RPKs	ERR688561_500K_merged_Abundance.RPKs	ERR688562_500K_merged_Abundance.RPKs	ERR688563_500K_merged_Abundance.RPKs	ERR688564_500K_merged_Abundance.RPKs	ERR688565_500K_merged_Abundance.RPKs	ERR688566_500K_merged_Abundance.RPKs	ERR688567_500K_merged_Abundance.RPKs	ERR688568_500K_merged_Abundance.RPKs	ERR688569_500K_merged_Abundance.RPKs	ERR688570_500K_merged_Abundance.RPKs	ERR688571_500K_merged_Abundance.RPKs	ERR688572_500K_merged_Abundance.RPKs	ERR688573_500K_merged_Abundance.RPKs	ERR688574_500K_merged_Abundance.RPKs	ERR688575_500K_merged_Abundance.RPKs	ERR688576_500K_merged_Abundance.RPKs	ERR688577_500K_merged_Abundance.RPKs	ERR688578_500K_merged_Abundance.RPKs	ERR688579_500K_merged_Abundance.RPKs	ERR688580_500K_merged_Abundance.RPKs	ERR688581_500K_merged_Abundance.RPKs	ERR688582_500K_merged_Abundance.RPKs	ERR688583_500K_merged_Abundance.RPKs	ERR688584_500K_merged_Abundance.RPKs	ERR688585_500K_merged_Abundance.RPKs	ERR688586_500K_merged_Abundance.RPKs	ERR688587_500K_merged_Abundance.RPKs	ERR688588_500K_merged_Abundance.RPKs	ERR688589_500K_merged_Abundance.RPKs	ERR688590_500K_merged_Abundance.RPKs	ERR688591_500K_merged_Abundance.RPKs	ERR688592_500K_merged_Abundance.RPKs	ERR688593_500K_merged_Abundance.RPKs	ERR688594_500K_merged_Abundance.RPKs	ERR688595_500K_merged_Abundance.RPKs	ERR688596_500K_merged_Abundance.RPKs	ERR688597_500K_merged_Abundance.RPKs	ERR688598_500K_merged_Abundance.RPKs	ERR688599_500K_merged_Abundance.RPKs	ERR688600_500K_merged_Abundance.RPKs	ERR688601_500K_merged_Abundance.RPKs	ERR688602_500K_merged_Abundance.RPKs	ERR688603_500K_merged_Abundance.RPKs	ERR688604_500K_merged_Abundance.RPKs	ERR688605_500K_merged_Abundance.RPKs	ERR688606_500K_merged_Abundance.RPKs	ERR688607_500K_merged_Abundance.RPKs	ERR688608_500K_merged_Abundance.RPKs	ERR688609_500K_merged_Abundance.RPKs	ERR688610_500K_merged_Abundance.RPKs	ERR688611_500K_merged_Abundance.RPKs	ERR688612_500K_merged_Abundance.RPKs	ERR688613_500K_merged_Abundance.RPKs	ERR688614_500K_merged_Abundance.RPKs	ERR688615_500K_merged_Abundance.RPKs	ERR688616_500K_merged_Abundance.RPKs	ERR688617_500K_merged_Abundance.RPKs	ERR688618_500K_merged_Abundance.RPKs	ERR688619_500K_merged_Abundance.RPKs	ERR688620_500K_merged_Abundance.RPKs	ERR688621_500K_merged_Abundance.RPKs	ERR688622_500K_merged_Abundance.RPKs	ERR688623_500K_merged_Abundance.RPKs	ERR688624_500K_merged_Abundance.RPKs	ERR688625_500K_merged_Abundance.RPKs	ERR688626_500K_merged_Abundance.RPKs	ERR688627_500K_merged_Abundance.RPKs	ERR688628_500K_merged_Abundance.RPKs	ERR688629_500K_merged_Abundance.RPKs	ERR688630_500K_merged_Abundance.RPKs	ERR688631_500K_merged_Abundance.RPKs	ERR688632_500K_merged_Abundance.RPKs	ERR688633_500K_merged_Abundance.RPKs	ERR688634_500K_merged_Abundance.RPKs	ERR688635_500K_merged_Abundance.RPKs	ERR688636_500K_merged_Abundance.RPKs	ERR688637_500K_merged_Abundance.RPKs	ERR688638_500K_merged_Abundance.RPKs	ERR688639_500K_merged_Abundance.RPKs	ERR688640_500K_merged_Abundance.RPKs	ERR688641_500K_merged_Abundance.RPKs	ERR688642_500K_merged_Abundance.RPKs	ERR688643_500K_merged_Abundance.RPKs	ERR688644_500K_merged_Abundance.RPKs	ERR688645_500K_merged_Abundance.RPKs	ERR688646_500K_merged_Abundance.RPKs	ERR688647_500K_merged_Abundance.RPKs	ERR688648_500K_merged_Abundance.RPKs	ERR688649_500K_merged_Abundance.RPKs	ERR688650_500K_merged_Abundance.RPKs	ERR688651_500K_merged_Abundance.RPKs	ERR710424_500K_merged_Abundance.RPKs	ERR710425_500K_merged_Abundance.RPKs	ERR710426_500K_merged_Abundance.RPKs	ERR710427_500K_merged_Abundance.RPKs	ERR710428_500K_merged_Abundance.RPKs	ERR710429_500K_merged_Abundance.RPKs	ERR710430_500K_merged_Abundance.RPKs	ERR710431_500K_merged_Abundance.RPKs	ERR710432_500K_merged_Abundance.RPKs
UNMAPPED	0.451538	0.559631	0.471422	0.487774	0.456456	0.339777	0.345228	0.35798	0.189031	0.543934	0.597944	0.421827	0.639677	0.382188	0.361694	0.445666	0.378665	0.38283	0.538143	0.582028	0.593493	0.437109	0.587759	0.611393	0.573844	0.429988	0.261501	0.30055	0.459866	0.141531	0.395832	0.422066	0.302473	0.398867	0.325679	0.550675	0.328736	0.367786	0.295655	0.491651	0.52238	0.482943	0.545851	0.27517	0.357295	0.351457	0.535976	0.433389	0.580626	0.277493	0.461187	0.485266	0.210352	0.52583	0.520547	0.162901	0.220583	0.230959	0.324364	0.50697	0.633568	0.34098	0.472795	0.394909	0.553525	0.399685	0.371715	0.368556	0.43638	0.550809	0.538836	0.567861	0.402593	0.504459	0.640642	0.284297	0.500123	0.623073	0.353024	0.318473	0.476121	0.521677	0.354061	0.269629	0.528384	0.576291	0.297506	0.530193	0.540518	0.254599	0.260543	0.447205	0.521157	0.309207	0.350467	0.576184	0.414098	0.340341	0.391241	0.520708	0.436077	0.334869	0.343402	0.49028	0.529212	0.656633	0.551143	0.342136	0.431088	0.624548	0.271948	0.375682	0.377912	0.540577	0.507133	0.356545	0.345067	0.495194	0.464284	0.503149	0.441203	0.633269	0.619121	0.454023	0.4466	0.619724	0.223304	0.25272	0.567018	0.607563	0.647883	0.429217	0.369456	0.0813803	0.512382	0.368274	0.380843	0.467306	0.296012	0.420701	0.329677	0.460274	0.488429	0.178949	0.468624	0.401177	0.496019	0.537388	0.402119	0.436671	0.532399	0.507997	0.50593	0.394027	0.505242	0.553555
UNGROUPED	0.474896	0.387703	0.459453	0.454307	0.462386	0.564402	0.551155	0.538228	0.675834	0.394245	0.356621	0.494044	0.322999	0.531973	0.534856	0.482754	0.525114	0.524562	0.398703	0.378207	0.360315	0.484367	0.371271	0.352277	0.384439	0.488164	0.612548	0.594578	0.463977	0.712085	0.508279	0.492359	0.571614	0.514538	0.562804	0.390639	0.583704	0.540716	0.598499	0.453545	0.417915	0.443168	0.397522	0.606188	0.547793	0.553632	0.41998	0.480227	0.361481	0.603655	0.460923	0.447146	0.664743	0.415563	0.42014	0.687561	0.656432	0.638969	0.560064	0.42433	0.324758	0.558468	0.45678	0.519866	0.397059	0.536191	0.539597	0.540082	0.492584	0.397778	0.411377	0.380909	0.512098	0.446796	0.326981	0.592614	0.442224	0.343842	0.583045	0.570915	0.438996	0.427979	0.557034	0.611418	0.410499	0.37404	0.587271	0.405372	0.406572	0.617309	0.604602	0.468111	0.416492	0.580142	0.53792	0.387855	0.524789	0.563613	0.519907	0.425942	0.483536	0.548183	0.567896	0.438656	0.408483	0.305017	0.389669	0.547921	0.483429	0.343469	0.599727	0.522121	0.527697	0.405461	0.43322	0.551394	0.547704	0.432386	0.456018	0.440752	0.486958	0.330927	0.341923	0.465704	0.481649	0.344143	0.655774	0.612952	0.385909	0.35235	0.317963	0.500214	0.586413	0.774212	0.434396	0.525523	0.53567	0.4754	0.652861	0.513264	0.582472	0.475688	0.446775	0.73057	0.47332	0.528898	0.44405	0.414958	0.538866	0.507438	0.420311	0.44219	0.445091	0.516934	0.442794	0.405324
1.1.1.1	0.000189326	6.19416e-05	0.000112123	4.51582e-05	9.43001e-05	0.000167005	0.000132187	0.000101794	0.000320867	6.61081e-05	0.000136142	0.000112829	0	0.000114803	0.000209472	4.14915e-05	0.000196315	0.000213834	4.56255e-05	5.76279e-05	2.14116e-05	0.000136109	5.55313e-05	2.39946e-05	3.99144e-05	9.83155e-05	0.000191354	0.000397739	0.000187068	0.000349819	0.000175651	0.000217274	0.000233779	8.34697e-05	0.000441059	4.78121e-05	0.000149939	6.4083e-05	0.000240811	2.18633e-05	8.25141e-05	8.18516e-05	4.29731e-05	0.000320814	0.000142402	0.000117083	1.57344e-05	0.000132985	8.71669e-05	0.000236527	6.45043e-05	0.000137109	0.000239227	5.15974e-05	6.75037e-05	0.000497945	0.000107127	0.000236609	0.000455315	8.86288e-05	9.2401e-05	9.61841e-05	8.01752e-05	0.000101358	3.90469e-05	0.00011263	0.000240058	9.27064e-05	6.17176e-05	4.21324e-05	1.53578e-05	9.07623e-05	0.000184405	1.1723e-05	1.92371e-05	0.000305055	2.07836e-05	8.7207e-06	7.77513e-05	0.000143675	0.000149097	5.79926e-05	0.000183968	0.000141222	7.8025e-05	5.78755e-05	0.000180439	0.000187006	3.35728e-05	0.000249469	0.000332953	0.000140713	9.23291e-05	0.000165714	0.000213045	2.19226e-05	6.75083e-05	7.11584e-05	0.000153319	2.05156e-05	0.000152717	0.000451158	7.98886e-05	8.02017e-05	0.000106846	0	0.000104039	0.000218643	0.000131384	1.93992e-05	0.000299832	0.000136816	0.000149198	6.93521e-05	4.46259e-05	0.000129418	0.00014477	0.000124276	0.000116639	3.96726e-05	7.62652e-05	2.30104e-05	8.2248e-05	0.000106107	9.25739e-05	1.3505e-05	0.000189206	0.000327033	9.99849e-06	4.0442e-05	2.90645e-05	0.000133052	2.98519e-05	0.000488083	3.59054e-05	0.0001992	6.74024e-05	3.79047e-05	1.29894e-05	0	0.000210123	2.99429e-05	9.49958e-05	9.87291e-06	3.97961e-05	2.69459e-05	9.54268e-05	1.6381e-05	2.10159e-05	9.98569e-05	3.85939e-05	0	3.92741e-05	0.000109004	6.12694e-05	1.55121e-05
1.1.1.100	0.000220373	0.000127033	0.000137068	7.8165e-05	0.000211835	0.000503505	0.000763935	0.000393021	0.000336175	0.00036736	0.000119865	0.000131878	1.12143e-05	0.000322171	0.00030583	5.93287e-05	0.000355533	0.000406792	0.000102971	5.69718e-05	0.000170324	0.000275078	0.000125432	2.12437e-05	8.61564e-05	0.000215734	0.000775371	0.000207761	0.000263057	0.000395424	0.000455283	0.00036268	0.000772443	0.000291792	0.00056118	0.00019463	0.000286435	0.000264164	0.000377029	2.87112e-05	0.000242952	0.000301624	0.000146146	0.000353615	0.000459715	0.000387556	4.05791e-05	0.000194001	0.000155931	0.000465782	0.00030682	0.000142901	0.000445029	0.0011471	4.42845e-05	0.000367061	0.00072689	0.000577119	0.000581525	0.000102249	0.00013875	0.000249794	0.000236524	0.000392129	2.23428e-05	0.00016815	0.000392518	0.000323546	0.000125377	0.000125149	0.000110551	0.000176621	0.000291111	0.000112593	0.000112893	0.000234868	0.000135547	1.84709e-05	0.000151011	0.00045825	0.000280032	0.000143861	0.000275966	0.000533375	5.5589e-05	9.3491e-05	0.000404536	0.000170748	0.000129906	0.000376496	0.00045597	0.000330053	0.000183874	0.000521831	0.000596786	8.1739e-05	0.000223522	0.000355206	0.000314432	0.000111936	0.000205601	0.000510288	0.000335181	0.000179347	0.000249321	0.000102687	0.000120308	0.000361858	0.000372278	8.29871e-05	0.000508357	0.000549055	0.000367761	0.000169498	0.000187502	0.000267052	0.000519518	0.000304062	0.00038649	7.7941e-05	0.000239785	5.44047e-05	0.000103752	0.000335063	0.00023747	1.79283e-05	0.000351978	0.000371492	0.000103346	9.9649e-05	8.87648e-05	0.00026338	1.84796e-05	0.00053076	0.000174507	0.000578674	0.000309318	0.000156412	1.60187e-05	0.00015137	0.000180924	0.000174498	0.000280854	1.69936e-05	9.89014e-05	0.00011433	0.000163288	8.10181e-05	7.12384e-05	0.00025425	6.92477e-05	5.80702e-05	0.000131976	0.000382152	0.000117062	6.44488e-05
1.1.1.101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.103	1.61373e-05	7.52755e-06	1.9736e-05	6.07845e-05	2.1966e-05	2.64709e-05	1.10913e-05	2.17838e-05	0.000139582	5.50201e-05	9.6825e-06	3.45253e-05	6.38258e-05	3.21245e-05	7.79225e-05	6.41485e-06	5.37514e-05	3.98492e-05	1.1292e-05	2.56314e-05	9.18262e-06	0	8.2904e-06	0	0	0	8.03469e-05	5.89016e-05	4.39297e-05	0.000289262	8.04501e-06	8.21638e-05	8.14502e-05	1.33882e-05	5.54856e-05	9.8943e-06	0.000109737	4.99459e-05	5.88174e-05	0	8.79834e-06	1.27801e-05	0	0.000174022	3.65761e-05	2.48847e-05	2.49868e-05	7.88545e-05	2.98101e-05	7.35471e-05	2.07839e-05	0	0.000132777	3.27257e-05	9.85516e-06	0.000187645	9.78885e-05	0.00016563	0.000100851	1.94417e-05	8.53791e-06	2.39903e-05	4.22278e-05	8.01638e-05	8.10304e-05	7.98255e-05	3.37228e-05	7.76934e-06	2.50933e-05	4.72839e-05	2.57698e-05	1.03332e-05	8.63714e-05	1.08785e-05	1.56458e-05	0.000191429	2.3777e-05	5.53588e-05	6.61873e-05	3.48088e-05	2.74342e-05	0	4.10084e-05	5.84521e-05	3.81957e-05	0	9.54874e-05	1.27198e-05	0	1.97261e-05	0.000233316	0	0	1.80595e-05	3.89346e-05	5.02876e-05	2.43006e-05	2.15813e-05	2.86163e-05	2.62172e-05	0	0.000145998	3.15606e-05	2.55351e-05	3.37082e-05	9.29129e-06	0	9.73397e-05	4.32663e-05	0	3.96923e-05	4.94779e-05	4.55089e-05	1.4609e-05	4.27317e-05	2.13878e-05	7.87256e-05	1.34739e-05	2.90237e-05	7.06647e-06	2.73941e-05	3.73791e-05	0	2.41382e-05	1.96447e-05	9.38494e-06	0.000202838	0.000198226	0	0	1.06982e-05	2.71816e-05	0	0.000219208	1.48329e-05	9.13968e-05	6.2429e-05	2.33307e-05	0	5.05152e-05	5.92504e-05	8.60589e-06	7.84552e-05	9.02344e-06	7.28214e-06	2.10722e-05	5.29452e-05	1.38491e-05	3.58195e-05	1.6463e-05	0	1.82407e-05	5.94317e-06	0	1.83219e-05	2.13938e-05
1.1.1.105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.97223e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.72677e-05	0	0	0	0	0	0	0	0	2.25702e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.63171e-05	0	0	0	0	0	0	2.34296e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.21677e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.55973e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04346e-05	0	0	0	0	0	0	0	0	0	0	5.2584e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.80762e-06	0	0	0	0	0	0	0	0	0	5.32872e-06	0	0	0	0	0	0	6.30845e-06	0	1.33783e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.09641e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.122	0	0	0	0	0	0	0	0	1.38217e-06	0	0	0	0	0	0	0	0	0	0	2.75295e-05	0	0	0	0	0	0	0	1.28489e-05	0	3.12125e-06	0	0	0	0	0	7.37771e-06	2.85169e-05	0	1.28315e-05	0	2.00092e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.87486e-06	0	6.58472e-06	0	0	0	0	0	0	0	2.08122e-06	0	0	0	0	1.25569e-05	0	3.30131e-05	1.45763e-05	9.4551e-06	0	2.67465e-05	0	3.75396e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10463e-05	0	0	0	0	0	0	0	0	0	0	0	0	1.70757e-05	0	0	0	0	0	0	0	0	0	3.14909e-05	0	2.93799e-06	5.99945e-06	1.33842e-05	8.21004e-06	0	0	0	0	1.62446e-05	0	0	6.67434e-06	0	2.87189e-05	0	0	0	0.000133067	2.17287e-05	6.83725e-05	0	0	9.74854e-06	0	1.73195e-05	0	0	0	0	6.79312e-06
1.1.1.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.82586e-06	0	0	0	0	0	0	0	0	0	0	7.52238e-06	0	0	6.88729e-06	9.86797e-06	0	0	0	0	0	0	0	0	0	0	1.95278e-05	0	2.20068e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.64697e-06	0	0	0	0	0	0	9.31017e-06	0	0	0	1.70775e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78801e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85622e-05	1.70902e-05	0	0	0	0	0	1.33236e-05	0	8.06645e-05	0	0	0	0	0	0	6.99174e-06	0	0	0	2.46343e-05	0	0	0	0	0	0	0	0	0
1.1.1.127	0	0	0	0	1.17907e-05	0	0	0	0.000135756	0	0	1.47073e-05	0	0	0	0	0	0	0	8.99466e-06	0	0	0	0	0	0	2.34687e-05	8.71464e-06	0	0.000282997	0	0	1.23583e-05	1.04072e-05	0	0	0.000115258	0	8.66299e-05	0	1.24112e-05	0	0	0.00018392	9.86797e-06	0	0	0	0	0	0	0	0.000168329	0	1.66103e-05	0.000217787	0	4.68477e-05	0	0	1.02439e-05	0	3.57479e-05	0	0	3.34445e-05	0	0	0	0	0	0	9.47351e-05	0	0	6.20712e-05	0	0	5.57866e-05	1.0769e-05	0	0	9.36012e-06	0	0	0	9.35362e-06	0	0	8.05344e-06	0.000168546	0	0	0	2.61057e-05	1.22313e-05	0	0	0	0	0	0	0	0	0	0	0	7.23116e-05	1.88274e-05	0	0	2.48346e-05	0	1.02817e-05	0	8.10418e-06	2.19683e-05	0	0	5.60919e-06	0	0	0	0	0	0	8.03604e-05	0.000228644	0	0	0	0	0	0.000215329	0	7.38195e-05	8.25334e-06	1.47966e-05	0	0	4.21887e-05	1.10755e-05	1.13763e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.130	0	0	0	0	0	0	7.49908e-06	0	9.4808e-05	1.36622e-05	0	1.36424e-05	0	8.2812e-06	0	0	0	0	0	7.1291e-06	0	0	0	0	0	0	0	2.14291e-05	0	0.000175139	7.1026e-06	1.0004e-05	0	0	0	0	2.15115e-05	0	0	0	2.74227e-05	0	0	6.39913e-05	2.8861e-05	0	0	0	0	0	0	0	4.99059e-05	0	1.69077e-05	9.55279e-05	7.35951e-06	6.24817e-05	3.55821e-05	0	0	0	1.18308e-05	7.30019e-06	0	4.75182e-05	0	0	0	0	0	0	0	0	0	4.50459e-05	1.22814e-05	0	3.20659e-05	0	0	0	0	0	0	0	0	0	0	0	0.000182316	0	0	7.71361e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.73455e-05	1.44629e-05	0	0	3.37548e-05	0	0	0	0	1.52666e-05	0	0	1.13468e-05	0	0	0	0	0	0	7.7536e-05	9.44614e-05	0	0	0	0	0	9.47412e-05	6.39156e-06	0	1.48172e-05	0	0	0	1.93175e-05	0	0	0	0	0	6.17275e-06	0	0	0	0	0	6.86766e-06	0	0	0
1.1.1.131	2.24426e-05	0	9.06143e-06	0	2.31396e-05	0	8.19221e-06	0	0	9.26048e-06	0	0	0	0	0	2.27613e-05	7.34674e-06	0	0	1.73903e-05	0	6.64993e-06	0	0	1.08626e-05	0	0	8.10389e-06	1.43114e-05	0	2.65794e-05	0	0	0	0	0	4.61019e-05	5.87624e-06	6.23225e-05	7.25953e-06	7.0006e-06	0	6.54745e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.01412e-06	1.7102e-05	0	0	0	0	0	0	0	0	8.81934e-06	9.85797e-06	3.19711e-05	1.70054e-05	1.10714e-05	3.14125e-05	1.10802e-05	0	4.61404e-05	0	2.8817e-05	0	0	1.65692e-05	0	0	0	6.31305e-06	0	0	6.30925e-06	0	0	0	0	0	0	0	1.76576e-05	0	0	8.91934e-06	1.34774e-05	0	0	6.83515e-06	0	0	0	6.71857e-06	0	0	0	2.88038e-05	8.47604e-06	1.81843e-05	1.60931e-05	2.30811e-05	0	0	1.59114e-05	0	0	0	3.17493e-05	1.46495e-05	1.14036e-05	0	0	0	2.86272e-05	0	0	0	0	0	1.88693e-05	0	8.0358e-06	2.46624e-05	7.11104e-06	9.86578e-05	2.289e-05	2.25828e-05	0	0.000149414	2.28078e-05	6.75475e-05	1.59502e-05	7.83188e-06	1.51766e-05	0	1.83318e-05	1.15423e-05	1.21959e-05	0	0	1.06175e-05
1.1.1.132	0	0	0	0	0	0	0	0	1.33182e-05	0	0	0	1.36676e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	2.73117e-06	6.42873e-06	0	3.18265e-05	0	0	0	0	0	0	1.93161e-05	0	1.08225e-05	0	0	0	7.56411e-06	2.58477e-05	0	0	0	0	0	0	0	0	5.89196e-06	0	2.16668e-05	1.46579e-05	0	9.72525e-06	0	2.56863e-06	0	0	1.97278e-05	0	0	1.1363e-05	0	0	0	0	0	0	1.90668e-05	0	0	3.60396e-05	0	0	7.48687e-06	0	0	0	0	0	0	0	0	0	0	0	2.86899e-05	0	0	0	0	4.07705e-06	0	0	0	0	0	0	0	0	0	0	0	1.49156e-05	8.09549e-06	0	6.60924e-06	1.17195e-06	0	0	0	0	0	0	0	0	0	0	0	0	5.22799e-06	0	2.09882e-05	2.45444e-05	0	0	0	0	0	5.83011e-06	0	0	0	5.97553e-06	0	0	4.89188e-06	0	0	0	0	0	4.23836e-06	0	8.09511e-06	0	0	0	0	0	0	0
